Longitude,Latitude,Magnitude
-121.03217,36.576,2.76
-120.966,36.3865,3.68
-121.63533,36.95984,2.74
-121.13467,36.497,3.56
-120.7395,36.16283,3.89
-120.74184,36.162,3.54
-121.59834,36.96567,2.51
-120.80483,36.22433,3
-121.03567,36.20984,2.98
-121.685,37.31617,2.75
-120.58217,36.02133,2.63
-121.66783,37.28817,2.81
-120.94317,36.3965,3.08
-121.73617,37.388,2.88
-120.53117,35.97117,2.67
-121.64217,36.962,2.89
-120.5975,36.61967,3.4
-121.65767,37.30883,3.3
-121.563,37.13383,2.85
-121.53067,37.12667,2.72
-121.55133,37.15917,2.58
-121.97134,37.58767,2.56
-121.336,36.74517,3.53
-121.14933,36.56517,2.56
-121.611,36.87867,2.73
-121.214,36.60033,3.2
-121.21667,36.604,3.28
-121.69883,37.00383,3.09
-121.46067,37.49767,3.07
-121.70367,37.0085,2.79
-121.69217,37.00917,2.88
-121.69917,37.004,2.88
-121.70433,37.00183,2.98
-121.57183,36.85,2.95
-121.18317,36.58667,3.15
-120.68716,36.13233,2.7
-120.81184,36.23083,2.58
-120.5215,36.1,2.94
-121.1805,36.58983,2.61
-121.263,36.80233,2.88
-121.57567,36.83833,3.24
-121.562,36.8405,2.91
-120.771,36.18867,3.75
-121.12133,35.80133,2.79
-120.80267,35.916,2.52
-120.841,35.86583,4.09
-121.18933,36.58533,3.01
-121.17633,36.57867,2.53
-121.5635,36.84683,4
-121.56517,36.846,2.81
-121.70367,37.0055,3.25
-121.70517,37.006,3.25
-121.71133,37.00834,2.53
-122.664,38.49783,5.6
-122.68,38.45016,3.5
-120.33434,36.21517,3.3
-122.7535,38.45,5.7
-122.7385,38.47367,3.4
-122.688,38.5115,4.3
-121.58984,36.96283,2.63
-121.45167,36.96483,4.66
-121.45184,36.96533,3.18
-121.45667,36.96667,3.06
-121.12317,36.5535,2.51
-121.54217,37.47433,3.22
-122.03067,37.86467,3.4
-122.69883,38.47533,3.9
-121.27417,36.92183,2.75
-121.59534,37.98734,3.09
-121.40183,36.73433,3.22
-121.49333,36.78117,2.88
-120.642,36.05467,2.59
-121.12566,36.55283,3.23
-121.5325,36.81783,2.85
-121.52184,36.78733,3.03
-121.33334,36.91617,3
-121.34267,36.913,3.35
-121.3385,36.9135,3.25
-121.655,37.30267,2.77
-121.2435,35.97117,2.64
-121.73016,37.36234,3.09
-121.231,36.12567,2.69
-120.759,36.16717,2.57
-121.37883,36.78233,4.6
-121.512,36.78533,2.68
-121.54234,36.82367,4.38
-120.505,35.9075,2.85
-121.3695,37.377,2.83
-121.267,36.651,3.14
-121.34317,34.9635,4.44
-120.70184,36.527,4.02
-121.23,36.6185,3.29
-121.12517,36.548,2.74
-120.86183,35.85033,3.81
-122.12933,36.866,3
-121.65,36.97933,2.76
-121.657,37.55416,2.53
-121.72417,37.3575,2.61
-121.45433,36.96783,3.42
-121.45,36.967,3.06
-120.906,36.01433,3.11
-121.15334,36.61383,3.39
-121.36017,36.7645,4.2
-121.3535,36.7595,3.24
-121.6025,36.86217,3.03
-121.60433,36.86,3.09
-121.60484,36.8645,3.32
-120.81133,36.22617,2.82
-121.59133,36.86633,2.75
-120.99167,36.43417,4.4
-121.07616,36.49633,3.11
-121.36333,35.04533,4.04
-121.496,36.466,4.2
-121.49117,36.46633,2.86
-121.65967,36.91233,3
-121.544,36.94383,2.53
-121.59766,36.96167,2.99
-121.58033,36.861,2.73
-120.635,36.4255,2.83
-121.36617,36.76733,3.1
-121.69033,37.48917,2.76
-121.0135,36.066,2.67
-120.85367,36.27517,2.54
-120.84116,36.272,3.75
-120.83683,36.27633,3.66
-120.45016,36.3995,2.83
-120.781,36.381,3.12
-121.50233,36.46467,2.81
-121.06467,36.48433,2.58
-121.317,36.688,3.34
-121.4475,36.949,2.97
-121.44067,36.94017,3.5
-121.66583,37.81633,2.96
-121.66084,37.28283,2.85
-121.6875,36.9425,2.72
-120.50616,35.91867,3.5
-121.31333,36.69167,3.4
-121.25,36.63733,2.74
-120.5795,35.991,2.8
-120.65134,36.0725,3.2
-121.529,37.12667,3.29
-121.529,37.12683,3.12
-121.44234,36.938,3.1
-121.70084,36.978,2.58
-121.05334,36.473,2.51
-121.34683,36.8905,2.58
-120.8885,36.32217,3.08
-120.619,36.05033,3.36
-121.943,37.8315,3.3
-120.561,35.99833,3.28
-120.556,36.00467,3.35
-120.87434,36.04033,2.93
-121.1865,36.61083,3.26
-120.56483,36.00817,2.83
-121.279,36.77567,3.45
-120.12833,36.15133,3.1
-120.866,36.30217,2.86
-121.63133,36.89083,3.06
-121.724,37.35683,2.76
-121.72967,37.7555,3.8
-121.57484,36.84733,2.77
-121.72984,36.97267,2.6
-121.71267,37.24483,2.76
-120.95417,36.38683,2.77
-121.38533,36.77833,3.2
-121.3835,36.77567,2.89
-121.38316,36.785,2.91
-122.07117,37.319,3.7
-122.07333,37.3165,3
-121.35516,36.7175,3.07
-121.5215,37.12117,3.4
-121.941,37.83833,2.88
-121.82083,37.53883,3.3
-121.07983,36.54517,4
-121.08417,36.54183,2.66
-121.08017,36.54317,4.13
-121.08767,36.54333,2.78
-121.52116,37.11967,2.65
-121.07983,36.54433,2.91
-120.8765,36.32733,2.6
-121.08767,36.54133,2.52
-121.819,37.53933,3.3
-121.10867,37.05117,2.64
-121.8235,37.5405,2.6
-121.089,36.54267,3.05
-121.08667,36.54067,2.58
-121.27783,36.77417,2.91
-120.61166,35.4215,2.55
-121.7405,37.382,2.6
-121.34933,35.6365,3.19
-120.58134,36.0115,2.87
-121.487,36.468,2.54
-121.815,37.46383,2.96
-120.987,36.0765,3.25
-121.05534,36.47517,2.73
-122.94867,38.367,3.06
-121.34583,35.785,3.47
-121.63084,36.88633,2.61
-121.15217,35.5095,3.41
-120.8415,36.236,2.96
-121.3815,36.726,2.56
-121.80634,37.45733,2.66
-120.5875,35.4595,2.53
-122.00933,37.9485,2.93
-121.63184,36.8865,2.92
-121.15617,36.56567,3.02
-122.06416,37.32117,2.56
-120.99416,36.4345,3.23
-121.0005,36.07733,3.37
-122.1395,37.754,3
-121.16033,36.557,2.84
-121.0165,36.43817,3.06
-121.01733,36.43567,2.78
-120.99683,36.41267,3.22
-122.23317,36.98083,2.77
-121.714,37.01667,3.18
-121.24433,36.6335,2.54
-121.39267,35.7705,3.18
-121.38267,35.7365,3.16
-121.59717,36.9625,2.68
-121.4585,35.79117,3.28
-120.98566,36.40983,3.44
-121.16917,36.56633,2.5
-121.54716,36.80583,3.3
-120.40933,35.75117,3.1
-121.27766,36.65816,3.27
-121.44033,36.94433,2.88
-121.685,37.47983,2.65
-121.27517,36.6575,2.56
-121.63667,36.891,3
-121.38834,35.7795,3.02
-121.673,37.29967,2.55
-120.6575,36.08967,3.46
-120.655,36.09184,3.51
-120.66634,36.079,3.17
-121.378,36.76833,2.57
-121.628,36.89267,3
-121.03983,36.46567,2.55
-120.98634,36.40933,2.87
-122.04066,37.65467,2.63
-120.80117,36.24283,2.5
-121.68816,37.48567,2.82
-121.199,36.59417,2.98
-121.132,36.54667,3.04
-121.13316,36.54683,3.29
-121.0845,36.54383,2.78
-121.07633,36.541,2.5
-120.27483,35.99817,2.58
-121.18017,36.58217,3
-121.17533,36.5785,3.54
-121.17017,36.5765,2.58
-121.08167,36.57117,2.85
-121.989,36.7685,2.52
-121.93867,37.79783,3.42
-120.55566,35.46267,2.85
-120.81284,36.34333,3.36
-121.4655,36.29333,3.29
-121.1655,36.5735,3.02
-121.52116,37.75933,2.52
-121.08067,36.495,2.64
-121.62517,37.23466,3.41
-121.27084,36.643,2.85
-121.47066,36.911,2.97
-121.215,36.61234,2.91
-121.55717,36.83883,2.9
-121.14867,36.56033,2.62
-121.12033,36.55,2.64
-121.1255,36.5455,2.5
-121.22483,36.61883,2.86
-121.62583,36.984,2.74
-121.45717,37.42033,2.73
-121.10633,36.549,3.83
-121.12067,36.5625,2.99
-121.3085,36.688,3.17
-121.39433,36.76534,2.78
-121.1045,36.55,3.01
-121.92983,37.80617,2.53
-120.675,36.253,3.12
-120.86433,36.26817,2.55
-121.13834,36.57867,3.39
-121.074,36.49583,2.92
-121.045,36.47,2.94
-121.27934,36.6525,3.22
-121.52934,37.13017,2.57
-121.14817,36.5545,3.25
-118.43467,36.3125,4
-120.7685,36.64583,2.67
-121.11916,36.5335,2.6
-121.07833,36.55033,2.73
-121.12083,36.53267,3.63
